Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
LNDC,Landec Corporation,8.11,207194280,n/a,1996,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lndc
LAYN,Layne Christensen Company,21.46,425895160,n/a,1992,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/layn
LEN,Lennar Corporation,30.34,4794144760,n/a,1971,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/len
LUK,Leucadia National Corporation,22.35,5466430050,n/a,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/luk
LIME,Lime Energy Co.,0.91,21811790,n/a,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/lime
LON,Loncor Resources Inc.,1,59345000,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lon
LPX,Louisiana-Pacific Corporation,11.08,1523710520,n/a,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/lpx
LXU,Lsb Industries Inc.,32.55,727134450,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lxu
LYB,LyondellBasell Industries NV,44.51,25576514240,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lyb
MVG,Mag Silver Corporation,9.16,509909720,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mvg
MLM,"Martin Marietta Materials, Inc.",79.42,3633306160,n/a,1994,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/mlm
MAS,Masco Corporation,13.3,4749430000,n/a,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/mas
MTRX,Matrix Service Company,10.7,275321700,n/a,1981,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/mtrx
MUX,McEwen Mining Inc.,3.11,524184280,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mux
MDU,Mdu Res Group Inc,22.48,4244920880,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/mdu
MWV,Meadwestvaco Corporation,28.7,4962689200,n/a,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/mwv
MTL,Mechel Steel Group OAO,6.1,603967100,n/a,2004,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/mtl
MERC,Mercer International Inc.,5.25,292839750,n/a,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/merc
MSB,Mesabi Trust,25.49,334428800,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/msb
MBLX,"Metabolix, Inc.",1.92,65648640,n/a,2006,Basic Industries,Containers/Packaging,http://www.nasdaq.com/symbol/mblx
MEA,Metalico Inc,2.03,96538680,n/a,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/mea
