Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
MIC,Macquarie Infrastructure Company LLC,34.74,1614506760,n/a,1992,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/mic
MMP,Magellan Midstream Partners L.P.,78.08,8830848000,n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/mmp
MPET,Magellan Petroleum Corporation,1.09,58681240,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mpet
MHR,Magnum Hunter Resources Corporation,3.67,482039820,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mhr
MRO,Marathon Oil Corporation,27.03,19056150000,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/mro
MPC,Marathon Petroleum Corporation,47.04,16027562880,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/mpc
MARPS,Marine Petroleum Trust,25,50000000,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/marps
MWE,"MarkWest Energy Partners, LP",52.35,5376030900,n/a,2002,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mwe
MMLP,Martin Midstream Partners L.P.,34.87,806089790,n/a,2002,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/mmlp
MTDR,Matador Resources Company,10.63,590050040,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mtdr
MXWL,"Maxwell Technologies, Inc.",6.67,194277090,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mxwl
MMR,McMoRan Exploration Company,13.88,2242508320,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mmr
MEMP,Memorial Production Partners LP,17.65,297261300,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/memp
